date;heure;nature;lieu;recompense;pas sur
2024-04-04;03:00;pipi;out;oui;
2024-04-04;04:00;pipi;in;non;oui
2024-04-04;06:40;caca;target;oui;
2024-04-04;08:30;caca;target;oui;
2024-04-04;13:30;pipi;out;oui;
2024-04-04;15:30;pipi;in;non;
2024-04-04;15:45;pipi;out;non;
2024-04-04;15:45;caca;out;non;
2024-04-04;17:15;pipi;out;non;
2024-04-04;17:50;pipi;out;non;
2024-04-04;18:50;pipi;target;oui;
2024-04-04;19:50;pipi;in;non;
2024-04-04;20:00;pipi;in;non;
2024-04-04;20:45;pipi;target;oui;
2024-04-04;22:50;pipi;out;non;
2024-04-05;01:00;pipi;in;non;oui
2024-04-05;01:00;caca;in;non;oui
2024-04-05;04:00;caca;in;non;oui
2024-04-05;06:40;pipi;target;oui;
2024-04-05;08:45;pipi;out;non;
2024-04-05;10:00;caca;out;non;
2024-04-05;16:30;pipi;target;oui;
2024-04-05;16:45;caca;out;non;
2024-04-05;18:00;pipi;target;oui;
2024-04-05;18:30;pipi;out;non;
2024-04-05;18:50;caca;target;oui;
2024-04-05;20:50;pipi;in;non;
2024-04-06;02:00;caca;in;non;oui
2024-04-06;04:00;caca;in;non;oui
2024-04-06;04:00;pipi;in;non;oui
2024-04-06;06:00;pipi;in;non;oui
2024-04-06;07:30;pipi;target;oui;
2024-04-06;07:50;pipi;target;non;
2024-04-06;09:40;pipi;out;non;
2024-04-06;00:00;pipi;out;non;
2024-04-06;12:15;pipi;out;non;
2024-04-06;12:15;caca;target;oui;
2024-04-06;13:05;pipi;target;oui;
2024-04-06;13:30;pipi;out;non;
2024-04-06;14:30;caca;out;non;oui
2024-04-06;16:30;caca;out;non;
2024-04-06;16:50;pipi;out;non;
2024-04-06;18:15;pipi;target;oui;
2024-04-06;18:25;caca;out;non;
2024-04-06;19:35;pipi;target;non;
2024-04-06;21:10;pipi;out;non;
2024-04-07;01:00;pipi;target;non;
2024-04-07;01:00;caca;target;oui;
2024-04-07;04:00;pipi;in;non;oui
2024-04-07;04:00;caca;in;non;oui
2024-04-07;09:45;pipi;target;oui;
2024-04-07;10:00;caca;out;non;
2024-04-07;10:00;pipi;in;non;
2024-04-07;12:20;pipi;out;non;
2024-04-07;12:25;pipi;target;non;
2024-04-07;14:15;pipi;target;oui;
2024-04-07;15:30;pipi;target;non;
2024-04-07;16:55;caca;target;oui;
2024-04-07;17:10;pipi;out;non;
2024-04-07;17:25;pipi;out;non;
2024-04-07;19:45;pipi;target;oui;
2024-04-07;20:50;pipi;target;oui;
2024-04-07;21:15;pipi;out;non;
2024-04-07;23:00;pipi;target;oui;
2024-04-07;23:00;caca;target;non;
2024-04-08;02:30;pipi;in;non;
2024-04-08;02:30;caca;in;non;
2024-04-08;04:00;pipi;in;non;oui
2024-04-08;06:45;caca;out;non;
2024-04-08;07:40;pipi;in;non;
2024-04-08;10:15;pipi;in;non;
2024-04-08;10:30;caca;target;non;
2024-04-08;11:15;pipi;in;non;
2024-04-08;13:00;pipi;target;oui;
2024-04-08;13:30;pipi;out;non;
2024-04-08;16:15;pipi;target;non;
2024-04-08;16:35;caca;out;non;
2024-04-08;17:30;pipi;out;non;
2024-04-08;18:10;pipi;target;oui;
2024-04-08;19:05;pipi;target;non;
2024-04-08;19:30;pipi;out;non;
2024-04-08;19:30;pipi;target;oui;
2024-04-08;20:35;pipi;target;non;
2024-04-08;20:50;pipi;in;non;
2024-04-08;21:00;pipi;target;oui;
2024-04-08;21:05;pipi;target;oui;
2024-04-08;21:10;pipi;target;oui;
2024-04-08;23:00;caca;target;oui;
2024-05-09;01:00;pipi;out;non;oui
2024-05-09;02:30;caca;target;non;
2024-05-09;04:00;pipi;out;non;oui
2024-05-09;06:45;caca;target;oui;
2024-05-09;07:25;pipi;target;non;
2024-05-09;10:30;pipi;target;oui;
2024-05-09;12:00:00;pipi;target;oui;
2024-05-09;14:05;caca;target;non;
2024-05-09;16:15;pipi;out;non;
2024-05-09;16:30;pipi;out;non;
2024-05-09;17:10;pipi;target;oui;
2024-05-09;19:25;pipi;target;oui;
2024-05-09;19:35;pipi;target;non;
2024-05-09;21:00;caca;out;non;
2024-05-09;23:30;pipi;target;non;
